snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 0.995 0.996666666666667 0.983333333333333 0.993333333333333 0.995 0.995 0.995 0 0.995 0.988333333333333
20 0.885 0.943333333333333 0.911666666666667 0.891666666666667 0.891666666666667 0.886666666666667 0.893333333333333 0 0.906666666666667 0.921666666666667
30 0.341666666666667 0.616666666666667 0.431666666666667 0.341666666666667 0.345 0.345 0.351666666666667 0 0.458333333333333 0.511666666666667
40 0 0.25 0.165 0 0 0 0 0 0.0633333333333332 0.05
50 0 0.218333333333333 0.123333333333333 0 0 0 0 0 0.0583333333333333 0.02
60 0 0.203333333333333 0.115 0 0 0 0 0 0.0283333333333334 0.0083333333333333
