snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi svd
10 60.0005143266667 60.0039989466667 60.0233595466667 58.7036261866667 54.8870934666667 54.8872551733334 54.8921302266667 0.00234974333333333 0.157270946666667 0.27817866 5.11453906666667
20 60.0005483666667 60.0067848733333 60.01766879 53.0121235866667 55.00715186 55.0075261533333 55.0130495066667 0.00224428666666667 0.18702735 0.35289659 4.99507155333333
30 60.00064786 60.0039404833333 60.0149050066667 36.48663024 54.1163270333333 54.9824997233333 54.9880212666667 0.00197184666666667 0.156325133333333 0.358894673333333 5.01930311333333
40 60.0005180799999 60.0037695866666 60.0157856533333 24.2994096766667 29.0106144933333 6.67550500666667 54.9984759366667 0.00153741666666667 0.139608393333333 0.276102106666667 5.00695365333333
50 60.0005378399999 60.0038473033334 60.02434736 21.10633823 9.8560564 4.41802036333334 54.9422132066667 0.00138125666666667 0.140651786666667 0.25341784 5.06383075666667
60 60.0006411533333 60.0035590099999 60.0247162933333 20.1841616666667 5.59495085666667 3.43903951 54.99287599 0.00150301 0.141377773333333 0.23838575 5.01300385333333
