snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 121.550740467584 286.877591632677 113.457693183761 116.873946701781 110.421635997849 135.309780703006 110.41956316104 13.3009529421966 69.9331887439893 73.3087635219528
20 175.604584082057 220.986889479849 104.739094438014 111.352024187782 108.451229842653 132.839068664077 108.374509210502 17.1707864918339 68.5681973291921 72.8503575467029
30 125.032418564877 176.558689382488 88.3353133803587 84.7931818619799 84.1127439837902 98.0119032377125 84.3556212234743 19.5659082670023 59.3868968315859 62.4134126469126
40 39.4075754982177 117.809963407428 59.4980307324458 35.691433034678 35.5461607107653 37.4293196070742 35.5425053030192 19.9596328843462 39.6920496625636 37.7055817697272
50 28.7803940863411 111.116078884845 49.9255318562811 24.1027594728924 24.1327137678429 24.5671742507625 24.1251753485494 19.9955713260232 29.6722300024505 27.52850938718
60 30.356644252858 106.754075482675 47.7920405939162 21.1860048654405 21.2588645501403 21.399146296818 21.2563530056275 19.9995734449229 26.1137908172441 24.2587005220887
