snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 0.996666666666667 0.998333333333333 0.986666666666667 0.998333333333333 0.996666666666667 0.998333333333333 0.996666666666667 0 0.995 0.986666666666667
20 0.885 0.886666666666667 0.9 0.883333333333333 0.886666666666667 0.883333333333333 0.885 0 0.911666666666667 0.908333333333333
30 0.315 0.31 0.323333333333333 0.316666666666667 0.313333333333333 0.305 0.315 0 0.505 0.321666666666667
40 0 0 0 0 0 0 0 0 0.0316666666666666 0
50 0 0 0 0 0 0 0 0 0.0116666666666667 0
60 0 0 0 0 0 0 0 0 0.0483333333333333 0
