snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 0.991666666666667 0.985 0.981666666666667 0.986666666666667 0.991666666666667 0.985 0.99 0 0.993333333333333 0.978333333333333
20 0.851666666666667 0.851666666666667 0.853333333333333 0.851666666666667 0.851666666666667 0.853333333333333 0.85 0 0.895 0.858333333333333
30 0.178333333333333 0.171666666666667 0.205 0.183333333333333 0.18 0.166666666666666 0.183333333333333 0 0.47 0.22
40 0 0 0 0 0 0 0 0 0.0266666666666667 0
50 0 0 0 0 0 0 0 0 0.0083333333333333 0
60 0 0 0 0 0 0 0 0 0.0283333333333332 0
