snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 110.085864913944 107.120689975784 95.1101125442073 112.699939951528 109.609394944958 135.575223436755 109.570327029233 13.3744204114081 68.1627473302722 115.792466694544
20 110.10862209859 108.010253504237 94.8150466367163 110.362036214165 108.981103029744 134.119909843106 108.995543109997 16.9435950291967 66.6535391107404 114.150889033152
30 86.0087156169495 83.245103134017 73.5635468778156 85.2502182580677 84.8944956967735 98.8596814361872 84.8626638426203 19.604656681385 58.5791927954688 90.2877280660003
40 37.0762713908297 36.3024761982284 33.8942369844067 36.7121894715768 36.8483947445273 38.7429996773734 36.784756727897 19.9588699168426 36.0015118669738 39.4246485750821
50 24.3168616017002 23.9850108832472 24.1507628745817 23.9662874641908 24.1322154533404 24.5320685911824 24.1127218633008 19.9961460766608 27.6643246599686 28.9540194937235
60 21.4052399959111 21.1072408285545 21.2221200394596 21.0510492527844 21.2268459924967 21.3310877482271 21.2177116829664 19.9995881539407 27.5832103679994 27.1397162306806
