snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 0.985 0.986666666666667 0.973333333333333 0.986666666666667 0.988333333333333 0.988333333333333 0.986666666666667 0 0.993333333333333 0.98
20 0.831666666666667 0.888333333333333 0.866666666666667 0.845 0.838333333333333 0.835 0.835 0 0.898333333333333 0.906666666666667
30 0.226666666666667 0.513333333333333 0.325 0.238333333333333 0.233333333333334 0.226666666666667 0.236666666666667 0 0.418333333333333 0.468333333333333
40 0 0.123333333333334 0.09 0 0 0 0 0 0.0383333333333334 0.045
50 0 0.0999999999999999 0.0733333333333335 0 0 0 0 0 0.0416666666666666 0.0116666666666667
60 0 0.0950000000000003 0.0683333333333334 0 0 0 0 0 0.0133333333333334 0
