snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 0.00180154349236532 0.0570084448434987 0.159343645454549 0.0124325834946116 0.00238576592366846 0.000204489299999236 0.00327018698490247 0.927199578992275 4.92725437674654e-05 0.0121529241620267
20 0.00331514173224208 0.0236978950492622 0.159269267559973 0.00889085239312468 0.00294592453151712 0.00100050937944696 0.00388117142971965 0.779690899853675 4.76267609347319e-05 0.0126265990965261
30 0.00121833813630981 0.0179509156314555 0.100281197843279 0.00279914068865006 0.00020409202999739 0.000209384380675907 0.00100090333886566 0.379937264093398 4.92446348291504e-05 0.00517939678448821
40 0.0012295041268366 0.0059821088367366 0.0258878629911076 0.00307265387625681 0.000215804797078807 0.000210684410756708 0.000864360002508341 0.132865956823317 4.7194780877944e-05 0.00539911047921424
50 0.00114923196336877 0.00251767533965617 0.00305013091592843 0.00309263790677174 0.000210687040813367 0.000210538720630132 0.000436195239975414 0.0427457576168042 4.87530186609822e-05 0.00311044128618405
60 0.00106528510613843 0.00206508843781378 0.00056259553056976 0.00301086062875026 0.000188400308079399 0.000206839356213015 0.000220732345027719 0.0133388295998598 4.92911393710915e-05 0.00240713729523309
