snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 0.0054201776868442 2.38868217751153 75.0952869103417 0.0972671145166807 0.125992861500428 0.0586588941443806 0.540715902989174 272.386210018755 0.0141485424272659 0.0132707805967452
20 0.0049706658417804 2.3448181274795 31.9545135125376 0.0964840284071147 0.0464963161443886 0.0250850115171519 0.189903035853889 82.4302340269832 0.00511386071394134 0.00489680434144602
30 0.00490311955953051 2.40586788981959 20.1710655929275 0.0957845650514956 0.0319147647987238 0.0170045415967737 0.128897065757757 26.9746475333037 0.00333434483909616 0.00315707358900374
40 0.00514643738087219 2.4135837648523 19.9632505214517 0.0947239429554935 0.0318648374790101 0.0312449276063202 0.0992875903567565 8.66397186199087 0.00290388848693822 0.00293064365117415
50 0.00467730420068673 2.30069314466938 16.1477869108553 0.0955311599717096 0.031575765346129 0.0316714216477278 0.0450489916410223 2.67064103508587 0.00295159229460171 0.00312691991443028
60 0.00539965896390647 2.34489946044804 14.5705668738083 0.0939294572022355 0.0314608408926688 0.0316409328252066 0.0320061692305253 0.862290489904979 0.00298420954827642 0.003106593510665
