snr ITEM prox_grad prox_newton concomitant irls_sqrt irls_sigma irls_sqrt_restart oracle frank_wolfe_constr frank_wolfe_epi
10 1.84071451607542e-05 0.00813279988583877 0.257817233690203 0.000331084178270546 0.000428016075877609 0.000199734795821627 0.00183378901760686 0.925483762472631 4.80896981869616e-05 4.58328187111083e-05
20 4.63333409328762e-05 0.0218436098668462 0.304289349031406 0.000899459082103239 0.000430612841425708 0.00023178621082165 0.00176038603048157 0.76446784880698 4.73841315591096e-05 4.54200060968169e-05
30 7.10212760205478e-05 0.0346711434845878 0.294403946294878 0.00138243907823476 0.000458825245450136 0.000242334597224829 0.00185494062874728 0.388098994939284 4.79545262117941e-05 4.56275819264959e-05
40 7.95404524474344e-05 0.0371390810394934 0.311978623799996 0.00145796073404991 0.000489161180636658 0.000478969266811347 0.00152503157954485 0.133077204437558 4.46414018108844e-05 4.55590669632105e-05
50 7.35048588937958e-05 0.0363832949454215 0.255539955502272 0.00151059546146951 0.000497652069021918 0.000499099102905272 0.000712639237640036 0.0421388838822116 4.66533970651738e-05 4.92368497640741e-05
60 8.55777012061035e-05 0.0373469492089679 0.233152091682194 0.00149445728764481 0.000498961761702364 0.000501794449019286 0.000507889634463734 0.0136836271945836 4.74466228599972e-05 4.85837571758836e-05
